Judge,Part,Address,Chamber phone,Chamber phone,Law Clerk 1,Law Clerk 2,Assistant Law Clerk,Commercial Division Law Clerk,Email
DEBORAH A. KAPLAN,Part 20,"111 Centre Street, New York, NY 10013",(646) 386-4200,(646) 386-3300,Joan Levenson,Boris Gelfand,Megan Schnader,,SFC-Part20-Clerk@nycourts.gov
ADAM SILVERA,Part 13,"60 Centre Street, New York, NY 10007",(646) 386-5181,(646) 386-3736,Monica Cheng,,Shreya Tewari,,SFC-Part13-Clerk@nycourts.gov
SUZANNE ADAMS,Part 39,"111 Centre Street, New York, NY 10013",(646) 386-5387,(646) 386-3619,Robin Marsico,,Kiriaki Tsevdos,,SFC-Part39-Clerk@nycourts.gov
NANCY M. BANNON,Part 42 General IAS Part Part Rules,"60 Centre Street, New York, NY 10007",(646) 386-5587,(646) 386-3237,Aryeh Roskies,,Jee Hoon (Matt) Choi,,SFC-Part42-Clerk@nycourts.gov
ARLENE BLUTH,Part 14 General IAS Part ? Part Rules,"60 Centre Street, New York, NY 10007",(646) 386-5725,(646) 386-3219,Gregory L. Schneider,,"Yusra Hoyt, Esq",,SFC-Part14-Clerk@nycourts.gov
ANDREW BORROK,Part 53 Commercial Division,"60 Centre Street, New York, NY 10007",(646) 386-4203,(646) 386-3304,Spencer Kelly,,Jared Rabinowitz,Christopher Mawyer,SFC-Part53-Clerk@nycourts.gov
MARGARET A. CHAN,Part 49 Commercial Division ? Part Rules,"60 Centre Street, New York, NY 10007",(646) 386-5695,(646) 386-4033,Victor Pinedo,,Yuyao Leng,,SFC-Part49-Clerk@nycourts.gov
ARIEL D. CHESLER,Part 51 Matrimonial IAS Part ? Part Rules,"60 Centre Street, New York, NY 10007",(646) 386-5856,(646) 386-3846,Esther B. Cajuste,,Shanon Farinha,,SFC-Part51-Clerk@nycourts.gov
JAMES G. CLYNES,Part 22 Motor Vehicle IAS Part ? Part Rules,"80 Centre Street, New York, NY 10013",(646) 386-5383,(646) 386-3271,Joseph E. Doherty,,Nicole Devaris-Morgulis,,SFC-Part22-Clerk@nycourts.gov
DAVID COHEN,Part 58 General IAS Part ? Part Rules,"71 Thomas Street, New York, NY 10013",(646) 386-3320,(646) 386-3347,"Andrew Hile, Esq",Catherine Paszkowska,,,SFC-Part58-Clerk@nycourts.gov
