Museum name,Country,Number of disputed items
British Museum,United Kingdom,944
"Ethnologisches Museum, Staatliche Museen zu Berlin",Germany,518
Field Museum,United States,393
"Museum of Archaeology and Anthropology, University of Cambridge",United Kingdom,350
"National Museum, Benin",Nigeria,285
Staatliche Ethnographische Sammlungen Sachsen und Staatliche Kunstsammlungen Dresden,Germany,283
Weltmuseum Wien,Austria,202
University of Pennsylvania Museum of Archaeology and Anthropology (Penn Museum),United States,188
MARKK Museum am Rothenbaum Kulturen und Künste der Welt,Germany,179
Metropolitan Museum of Art,United States,154
Pitt Rivers Museum,United Kingdom,148
Nationaal Museum van Wereldculturen and Wereldmuseum,Netherlands,122
Rautenstrauch-Joest-Museum,Germany,92
"National Museum, Lagos",Nigeria,81
National Museums Scotland,United Kingdom,74
Horniman Museum and Gardens,United Kingdom,72
"National Museums Liverpool, World Museum",United Kingdom,71
"Linden-Museum Stuttgart, Staatliches Museum für Völkerkunde",Germany,69
Fowler Museum at UCLA,United States,64
Weltkulturen Museum Frankfurt am Main,Germany,55
"Världskultur Museerna, National Museums of World Culture",Sweden,53
American Museum of Natural History,United States,48
National Museum of Ireland,Ireland,46
Peabody Museum of Archaeology and Ethnology at Harvard University,United States,43
Smithsonian National Museum of African Art,United States,37
musée du quai Branly - Jacques Chirac,France,35
Glasgow Museums (Kelvingrove Art Gallery and Museum),United Kingdom,32
"Reiss-Engelhorn-Museen, Museum Weltkulturen",Germany,32
Peter the Great Museum of Anthropology and Ethnography (the Kunstkamera),Russia,28
"Museum Fünf Kontinente, Staatliche Museen in Bayern",Germany,24
Brooklyn Museum,United States,23
Manchester Museum,United Kingdom,23
"UiO, Museum of Cultural History, University of Oslo",Norway,23
Museum der Kulturen Basel,Switzerland,20
Royal Pavilion & Museums Trust,United Kingdom,18
Übersee-Museum Bremen,Germany,18
Völkerkundemuseum der Universität Zürich,Switzerland,17
Smithsonian National Museum of Natural History,United States,16
Canterbury Museum,New Zealand,15
Indianapolis Museum of Art at Newfields,United States,15
Museum Rietberg Zürich,Switzerland,14
Science Museum,United Kingdom,14
Powell-Cotton Museum,United Kingdom,13
Seattle Art Museum,United States,12
Ipswich Museum,United Kingdom,10
Städtische Museen Freiburg,Germany,10
The Israel Museum,Israel,9
National Gallery of Australia,Australia,9
Völkerkundesammlung,Germany,9
Sainsbury Centre for Visual Arts,United Kingdom,8
Cleveland Museum of Art,United States,8
New Orleans Museum of Art,United States,8
"Research and Cultural Collections, University of Birmingham",United Kingdom,8
Historisches und Völkerkundemuseum St. Gallen,Switzerland,8
Art Institute of Chicago,United States,7
"Museum of Fine Arts, Boston",United States,7
Musée d'Ethnographie de Genève,Switzerland,7
Sidney and Lois Eskenazi Museum of Art,United States,7
Buffalo Museum of Sciences,United States,7
"Stanley Museum of Art, University of Iowa",United States,6
Detroit Institute of Arts,United States,6
North Carolina Museum of Art,United States,5
"Nationalmuseet, National Museum of Denmark",Denmark,5
Musée des beaux-arts,Canada,5
Museum Ulm,Germany,5
Städtisches Museum Braunschweig,Germany,5
Dallas Museum of Art,United States,4
Royal Ontario Museum,Canada,4
Princeton University Art Museum,United States,4
"AfricaMuseum, Royal Museum for Central Africa",Belgium,4
MIM Musical Instrument Museum,Belgium,4
South Australian Museum,Australia,4
Roemer- und Pelizaeus-Museum Hildesheim,Germany,4
Royal Albert Memorial Museum & Art Gallery (RAMM),United Kingdom,3
Royal Museums Greenwich,United Kingdom,3
Royal Armouries,United Kingdom,3
"Patricia & Phillip Frost Art Museum, Florida International University",United States,3
"SLAM, Saint Louis Art Museum",United States,3
Davis Museum at Wellesley College,United States,3
Barnes Foundation,United States,3
Nelson-Atkins Museum of Art,United States,3
Bernisches Historisches Museum,Switzerland,3
Baltimore Museum of Art,United States,3
Sam Noble Oklahoma Museum of Natural History (formerly Stovall Museum),United States,3
Minneapolis Institute of Arts,United States,3
Denver Art Museum,United States,3
de Young museum,United States,3
Royal Collection Trust,United Kingdom,2
Warrington Museum and Art Gallery,United Kingdom,2
"Calderdale Museums, Bankfield Museum",United Kingdom,2
Birmingham Museums Trust,United Kingdom,2
Yale University Art Gallery,United States,2
Bristol Museum & Art Gallery,United Kingdom,2
Krannert Art Museum | University of Illinois at Urbana-Champaign,United States,2
Harvard Art Museums,United States,2
Museum aan de Stroom,Belgium,2
"HMA, Haffenreffer Museum of Anthropology at Brown University",United States,2
"Museums and Special Collections, University of Aberdeen",United Kingdom,1
Great North Museum: Hancock,United Kingdom,1
Hull Museums,United Kingdom,1
"Niedersächsische Landesmuseen Oldenburg, Landesmuseum Natur und Mensch Oldenburg",Germany,1
Speed Art Museum,United States,1
Al Thani Collection,France,1
Northampton Museums and Art Gallery,United Kingdom,1
Toledo Museum of Art,United States,1
"Musée de la musique, Cité de la Musique - Philharmonie de Paris",France,1
"National Archives, John F. Kennedy Presidential Library and Museum",United States,1
Muzeum Narodowe w Szczecinie,Poland,1
"VMFA, Virginia Museum of Fine Arts",United States,1
Barber Institute of Fine Arts,United Kingdom,1
Museu Nacional de Etnologia,Portugal,1
Musée national Picasso Paris,France,1
National Gallery of Art,United States,1
Museum Folkwang,Germany,1
"Michael C. Carlos Museum, Emory University",United States,1
"Fleming Museum of Art, University of Vermont",United States,1
Musée d'Ethnographie de Neuchâtel,Switzerland,1
Gustavianum - Uppsala University Museum,Sweden,1
Hunt Museum,Ireland,1
Museum of Anthropology at UBC,Canada,1
"Institut für Ethnologie und Afrikastudien, Johannes Gutenberg-Universität Mainz",Germany,1
Canadian Museum of History / Musée canadien de l’histoire,Canada,1
"Landesmuseum Hannover, Das WeltenMuseum",Germany,1
Institut für Ethnologie und Ethnologische Sammlung der Universität Göttingen,Germany,1
"RISD Museum, Museum of Art at Rhode Island School of Design",United States,1
Carnegie Museum of Art,United States,1
"Allen Memorial Art Museum, Oberlin College",United States,1
Newark Museum of Art,United States,1
LACMA The Los Angeles County Museum of Art,United States,1
Hood Museum of Art,United States,1
"Phoebe A. Hearst Museum of Anthropology, University of California at Berkeley",United States,1
